region,founder,university,admission_type,college,department,quota,applicants,rate,deadline_day,deadline_time
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,AI공과대학,건축공학과 [교직],2,3,1.5,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,AI공과대학,스마트융합보안학과,2,3,1.5,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,AI공과대학,AI빅데이터공학과,2,3,1.5,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,예술대학,영화영상학과 [교직],2,3,1.5,9.11.(금),18:00
경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,일어일문학전공,2,3,1.5,9.11.(금),17:00
경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,스마트모빌리티공학전공,2,3,1.5,9.11.(금),17:00
경기,사립,성결대학교,[학생부교과/실기] (정원외) 농어촌학생,글로벌경영대학,글로벌물류학과,2,3,1.5,9.11.(금),18:00
경기,사립,신한대학교(의정부/동두천),농어촌전형(교과100%),,유아교육과,2,3,1.5,9.11.(금),23:59
경기,사립,용인대학교,정원외 농어촌학생 특별전형,인문사회융합대학,인문사회 / 경영학과,2,3,1.5,9.11.(금),18:00
서울,사립,경기대학교(서울),학생부교과(농어촌학생전형),,사학과,2,3,1.5,9.11.(금),17:00
서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,일어일문학전공,2,3,1.5,9.11.(금),17:00
서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,스마트모빌리티공학전공,2,3,1.5,9.11.(금),17:00
서울,사립,삼육대학교,농어촌전형,,글로벌한국학과,2,3,1.5,9.11.(금),18:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),공과대학,건축학부(건축공학전공),2,3,1.5,9.11.(금),18:00
서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),공과대학,인공지능공학부,2,3,1.5,9.11.(금),17:00
대전,국립,국립한밭대학교,농어촌학생전형,,산업경영공학과,2,3,1.5,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,인문대학,국어국문학과,2,3,1.5,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,공과대학,자율운항시스템공학과,2,3,1.5,9.11.(금),18:00
세종,사립,홍익대학교(세종),농어촌학생전형,AID융합과학기술대학,바이오화학융합공학과,2,3,1.5,9.11.(금),18:00
세종,사립,홍익대학교(세종),농어촌학생전형,,게임학부 게임소프트웨어전공(공학계),2,3,1.5,9.11.(금),18:00
충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),인문사회과학대학,경제통상학부,2,3,1.5,9.11.(금),18:00
충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),천안공과대학,소프트웨어학과,2,3,1.5,9.11.(금),18:00
충남,사립,단국대학교(천안),[논술위주] 논술우수자 경쟁률 현황 (죽전),,AI건축융합학과,2,3,1.5,9.11.(금),18:00
충남,사립,한국기술교육대학교,농어촌학생[정원외],,경영학부 / 융합경영전공,2,3,1.5,9.11.(금),19:00
충남,사립,호서대학교,- 정원외 학생부교과 농어촌학생전형,,한국언어문화학과,2,1,1.5,9.11.(금),18:00
충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),인문사회융합대학,문헌정보학과,2,3,1.5,9.11.(금),19:00
충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),과학기술대학,메카트로닉스공학과,2,3,1.5,9.11.(금),19:00
충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),과학기술대학,컴퓨터공학과,2,3,1.5,9.11.(금),19:00
충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),과학기술대학,바이오메디컬공학과,2,3,1.5,9.11.(금),19:00
충북,국립,충북대학교,학생부종합(농어촌학생전형),경영대학,국제경영학과,2,3,1.5,9.11.(금),19:00
충북,국립,충북대학교,학생부종합(농어촌학생전형),공과대학,도시공학과,2,3,1.5,9.11.(금),19:00
경기,사립,차의과학대학교,학생부종합(농어촌학생특별전형),,글로벌미래인재대학,15,23,1.53,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,사회과학대학,아동학전공,11,17,1.55,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,문화지식융합대학,HCI사이언스전공,11,17,1.55,9.11.(금),18:00
경기,사립,한세대학교,"농어촌학생(정원외) - 음악전공/공연예술전공 교과 20% + 실기 80%, 이외학과 교과 100%",,자유전공학부,10,3,1.6,9.11.(금),18:00
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,외식산업학부,10,16,1.6,9.11.(금),18:00
경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,응용화학과,5,8,1.6,9.11.(금),18:00
경기,사립,수원대학교,농어촌학생전형,혁신공과대학,전기전자공학부,5,8,1.6,9.11.(금),18:00
서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,응용화학과,5,8,1.6,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,전자·기계융합공학과,13,21,1.62,9.11.(금),18:00
경기,사립,을지대학교(성남의정부),논술우수자,,안경광학과,8,13,1.63,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,사회과학대학,사회복지학전공,8,13,1.63,9.11.(금),18:00
대전,사립,을지대학교(대전),논술우수자,,안경광학과,8,13,1.63,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,유아교육과,11,18,1.64,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),문화스포츠대학,국제스포츠학부,9,15,1.67,9.11.(금),18:00
서울,사립,동국대학교(서울),논술,공과,산업시스템공학과,6,10,1.67,9.11.(금),17:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,인공지능학과,3,5,1.67,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,인문사회대학,경영학과,3,5,1.67,9.11.(금),18:00
경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,국제통상학전공,3,5,1.67,9.11.(금),17:00
경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,AI경영정보학과,3,5,1.67,9.11.(금),17:00
경기,사립,수원대학교,농어촌학생전형,혁신공과대학,화학공학·신소재공학부,3,5,1.67,9.11.(금),18:00
경기,사립,안양대학교(안양),학생부교과(농어촌학생),,관광경영학과(교직),3,5,1.67,9.11.(금),18:00
경기,사립,용인대학교,정원외 농어촌학생 특별전형,문화예술대학,예능 / 미디어디자인학과,3,5,1.67,9.11.(금),18:00
서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,국제통상학전공,3,5,1.67,9.11.(금),17:00
서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,AI경영정보학과,3,5,1.67,9.11.(금),17:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),조형대학,조형예술학과,3,5,1.67,9.11.(금),18:00
서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),영어영문학부,영어영문학전공,3,5,1.67,9.11.(금),17:00
경기,사립,한신대학교,논술,인문,자유전공학부,30,51,1.7,9.11.(금),18:00
서울,사립,동국대학교(서울),논술,첨단융합,컴퓨터 · AI학부(자연),20,34,1.7,9.11.(금),17:00
경기,사립,수원대학교,교과논술전형,문화예술융합대학,아트앤엔터테인먼트학부 디지털콘텐츠,10,17,1.7,9.11.(금),18:00
충남,사립,호서대학교,- 정원외 학생부교과 농어촌학생전형,,컴퓨터공학과,10,5,1.7,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,,광고홍보학부,14,24,1.71,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,교육학과,7,12,1.71,9.11.(금),18:00
경기,사립,경기대학교(수원),학생부교과(농어촌학생전형),,"AI컴퓨터공학부 / 컴퓨터공학전공, 인공지능전공, SW안전보안전공, 모빌리티SW전공",7,12,1.71,9.11.(금),17:00
서울,사립,경기대학교(서울),학생부교과(농어촌학생전형),,"AI컴퓨터공학부 / 컴퓨터공학전공, 인공지능전공, SW안전보안전공, 모빌리티SW전공",7,12,1.71,9.11.(금),17:00
서울,사립,동덕여자대학교,논술우수자전형,문화지식융합대학,문화예술경영전공,11,19,1.73,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),글로벌비즈니스대학,융합경영학부,24,42,1.75,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,사회과학대학,문헌정보학전공,8,14,1.75,9.11.(금),18:00
경기,사립,가톨릭대학교(부천),논술전형,,바이오메디컬소프트웨어학과,4,7,1.75,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,인문사회대학,미디어커뮤니케이션학과,4,7,1.75,9.11.(금),18:00
경기,사립,수원대학교,농어촌학생전형,지능형SW융합대학,AI데이터과학부,4,7,1.75,9.11.(금),18:00
서울,사립,가톨릭대학교(서울),논술전형,,바이오메디컬소프트웨어학과,4,7,1.75,9.11.(금),18:00
서울,사립,성신여자대학교,논술우수자,,바이오헬스융합학부,4,7,1.75,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,문화지식융합대학,데이터사이언스전공,9,16,1.78,9.11.(금),18:00
경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,경영대학(자율전공) - AI융합경영학과 - 글로벌무역학과 - 국제개발협력학과 - 글로벌관광경영학과,35,63,1.8,9.11.(금),23:59
서울,사립,동국대학교(서울),논술,바이오시스템,바이오시스템대학(광역화),10,18,1.8,9.11.(금),17:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,생명정보공학과,10,18,1.8,9.11.(금),18:00
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,경상학부,10,18,1.8,9.11.(금),18:00
경기,사립,강남대학교,[정원내]학생부교과(농어촌학생전형),인문사회계,상경학부,5,9,1.8,9.11.(금),18:00
서울,사립,세종대학교,논술(논술우수자 전형),인공지능융합,양자지능정보학과,5,9,1.8,9.11.(금),18:00
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,보건학부 물리치료학과,5,9,1.8,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,복지융합대학,28,51,1.82,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),공학계,부동산건설학부,24,44,1.83,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,심리·아동학,6,11,1.83,9.11.(금),18:00
서울,사립,성신여자대학교,논술우수자,,화학·에너지융합학부,6,11,1.83,9.11.(금),18:00
충남,사립,유원대학교(아산),농어촌학생,,간호학과,6,11,1.83,9.11.(금),22:00
충남,사립,호서대학교,- 정원외 학생부교과 농어촌학생전형,,식품공학과,6,1,1.83,9.11.(금),18:00
충북,사립,유원대학교(영동),농어촌학생,,간호학과,6,11,1.83,9.11.(금),22:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,상경학부,32,59,1.84,9.11.(금),18:00
경기,사립,을지대학교(성남의정부),논술우수자,,인문사회계열학부,35,65,1.86,9.11.(금),18:00
대전,사립,을지대학교(대전),논술우수자,,인문사회계열학부,35,65,1.86,9.11.(금),18:00
서울,사립,덕성여자대학교,기회균형전형Ⅰ_농어촌학생[학생부위주(종합)],,과학기술대학,14,26,1.86,9.11.(금),18:00
서울,사립,동국대학교(서울),논술,공과,건설환경공학과,7,13,1.86,9.11.(금),17:00
세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,조선해양모빌리티공학과,7,13,1.86,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,바이오화학융합공학과,9,17,1.89,9.11.(금),18:00
서울,사립,홍익대학교(서울),논술전형,공과대학,컴퓨터공학과,29,55,1.9,9.11.(금),18:00
경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,소프트웨어융합학과,10,19,1.9,9.11.(금),23:59
경기,사립,수원대학교,교과논술전형,지능형SW융합대학,AI데이터과학부,32,61,1.91,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,문화지식융합대학,커뮤니케이션콘텐츠전공,11,21,1.91,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,자연정보과학대학,컴퓨터학전공,18,36,2.0,9.11.(금),18:00
경기,사립,수원대학교,교과논술전형,혁신공과대학,반도체공학과,15,30,2.0,9.11.(금),18:00
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,경찰학부,9,18,2.0,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,화공생명배터리공학부,4,8,2.0,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,반도체대학,4,8,2.0,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,중등특수교육과,4,8,2.0,9.11.(금),18:00
경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,고분자시스템공학부(융합소재공학전공),4,8,2.0,9.11.(금),18:00
대전,사립,건양대학교(대전),농어촌학생전형,,안경광학과,4,8,2.0,9.11.(금),19:00
대전,국립,국립한밭대학교,농어촌학생전형,,화학생명공학과,4,8,2.0,9.11.(금),18:00
세종,사립,홍익대학교(세종),농어촌학생전형,조형대학,디자인컨버전스학부,4,8,2.0,9.11.(금),18:00
충남,사립,건양대학교(논산),농어촌학생전형,,안경광학과,4,8,2.0,9.11.(금),19:00
충남,사립,단국대학교(천안),[논술위주] 논술우수자 경쟁률 현황 (죽전),,고분자시스템공학부(융합소재공학전공),4,8,2.0,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,컴퓨터공학과,3,6,2.0,9.11.(금),18:00
경기,사립,가톨릭대학교(부천),논술전형,,식품영양학과,3,6,2.0,9.11.(금),18:00
경기,사립,경기대학교(수원),학생부교과(농어촌학생전형),,"공공인재학부 / 행정학전공, 정치외교학전공",3,6,2.0,9.11.(금),17:00
경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,건축학부(건축공학전공),3,6,2.0,9.11.(금),18:00
